Title:,"Annual average concentrations of selected determinands of river water quality, by river location: ",,,,,,,,,,,,,,,,
Anglian,BEDFORD OUSE - EARITH                        ,1994,11.85666667,8.174576271,865.3389831,21.15833333,,10.55491525,2.127586207,0.085254237,0.065416667,38.45350717,65.25084746,210.7916667,22.68421053,0.558813559,0.071458333
Anglian,BEDFORD OUSE - EARITH                        ,1995,12.6,8.342372881,938.1016949,34.316,,11.5354386,2.8375,0.070932203,0.062541667,37.27730874,71.20338983,221.2,34.41428571,1.145084746,0.0876
Anglian,BEDFORD OUSE - EARITH                        ,1996,11.62,8.353448276,985.0689655,14.9,,10.83596491,2.796551724,0.07225,0.063913043,36.41687743,85.7,214.8181818,22.64444444,1.6005,0.098541667
Anglian,BEDFORD OUSE - EARITH                        ,1997,12.98833333,8.341666667,1057,7.304166667,,10.45915254,2.415254237,0.076916667,0.066708333,33.39585391,102.1333333,219.0434783,21.47058824,2.053666667,0.072173913
Anglian,BEDFORD OUSE - EARITH                        ,1998,12.90819672,8.346666667,951.8474576,13.6375,,10.27333333,2.396551724,0.060916667,0.064130435,40.73473415,73.11666667,239.125,32.9,1.064,0.079347826
Anglian,BEDFORD OUSE - EARITH                        ,1999,11.07692308,8.37,895.2702703,19.1625,,11.49055556,2.624324324,0.057502703,0.0625,37.31624639,68.18888889,220.5625,36.59285714,0.714540541,0.041875
Anglian,BEDFORD OUSE - EARITH                        ,2000,13.55555556,8.223333333,859.4444444,23.5,,,1.522222222,0.101555556,0.066444444,30.47742562,63.55555556,223.4444444,22.22222222,,0.055555556
Anglian,BEDFORD OUSE - EARITH                        ,2001,11.57692308,8.17,800.437505,23.39166667,,,2.258333333,0.098461538,0.070433333,34.73106807,51.175,217.4166667,45.675,,0.027083333
Anglian,BEDFORD OUSE - EARITH                        ,2002,12.41416667,8.061666667,854,12.475,,,2.208333333,0.113833333,0.070358333,35.886187,62.21666667,211.3333333,20.46666667,0.716166667,0.02875
Anglian,BEDFORD OUSE - EARITH                        ,2003,15.57416667,8.381666667,826.0833333,15.08333333,12.66666667,11.66916667,3.3,0.057,0.068175,29.01083053,82.825,201.0833333,68.58333333,0.823333333,0.025
Anglian,BEDFORD OUSE - EARITH                        ,2004,12.75416667,8.05,782.9166667,10.95384615,12.08333333,10.20916667,1.718181818,0.074307692,0.064976923,44.64368616,65.9,,9.033333333,0.5220625,0.025
Anglian,BEDFORD OUSE - EARITH                        ,2005,12.795,8.283333333,869.75,5.275,10,10.81166667,1.5625,0.047333333,0.064441667,36.6353536,90.5,,14.68083333,0.354836735,0.025
Anglian,BEDFORD OUSE - EARITH                        ,2006,13.11916667,8.2075,854.8333333,6.233333333,10,10.26666667,1.809166667,0.0685,0.057825,35.12963946,93.85,,16.8,0.349833333,0.025
Anglian,BEDFORD OUSE - EARITH                        ,2007,12.04333333,8.173333333,834.8333333,15.50833333,12.66666667,10.20083333,1.791666667,0.066333333,0.055008333,34.36202048,60.825,211.5,28.13333333,0.210916667,0.025
Anglian,BEDFORD OUSE - EARITH                        ,2008,11.46,8.254615385,876.3076923,14.125,12.83333333,11.11416667,1.958333333,0.075833333,0.049216667,31.18083032,63.7,,34.78333333,0.212,0.025
Anglian,BEDFORD OUSE - EARITH                        ,2009,11.6175,8.2675,914.3333333,5.6475,10,11.76,1.5125,0.04225,0.047633333,33.78630625,81.40833333,,13.29166667,0.21325,0.027083333
Anglian,BEDFORD OUSE - EARITH                        ,2010,11.74916667,8.168333333,873.4166667,7.84,11.25,11.9575,1.658333333,0.090916667,0.066933333,31.77499693,74.15,,13.825,0.1765,0.025
Anglian,BEDFORD OUSE - EARITH                        ,2011,13.7225,8.234166667,960.5833333,6.608333333,12.225,10.7425,1.275,0.05825,0.071016667,31.69380646,94.08333333,,6.15,0.23475,0.025
Thames,THAMES - TEDDINGTON WEIR               ,1980,11.05,8.133962264,537.1111111,16.98679245,,9.917924528,2.735294118,0.276826923,,30.53159045,37.75,184.1886792,24.55471698,1.160192308,0.070192308
Thames,THAMES - TEDDINGTON WEIR               ,1981,12.16666667,8.184,583.5416667,31.83061224,,9.86,2.84,0.1793,,30.85828273,34.92,194.24,26.828,1.0436,0.06
Thames,THAMES - TEDDINGTON WEIR               ,1982,12.36538462,8.030769231,595.9607843,24.71153846,,10.14423077,2.619230769,0.220865385,,30.48900804,38.34615385,189.2307692,27.22307692,1.218653846,0.059615385
Thames,THAMES - TEDDINGTON WEIR               ,1983,12.01,8.082,601.2,17.336,,9.816,2.526,0.1731,,31.54028266,40.54,195.877551,25.504,1.46,0.0575
Thames,THAMES - TEDDINGTON WEIR               ,1984,12.34693878,8.018367347,593.0204082,21.73958333,,10.12040816,3.144897959,0.299387755,,33.169093,42.95918367,184.6122449,38.95510204,1.659387755,0.068367347
Thames,THAMES - TEDDINGTON WEIR               ,1985,10.72580645,7.929032258,634.1612903,21.69677419,,9.993333333,2.419354839,0.289516129,0.111538462,35.36428229,43.80645161,197.3548387,35.85,1.319677419,0.045967742
Thames,THAMES - TEDDINGTON WEIR               ,1986,11.74166667,8.032142857,653,28.33181818,,10.86933333,3.585714286,0.276851852,0.098666667,30.37999706,43.37037037,189.4090909,14,1.311481481,0.035217391
Thames,THAMES - TEDDINGTON WEIR               ,1987,11.80434783,7.8,735.2380952,18.84285714,,9.753333333,2.6125,0.346458333,0.0932,30.34493754,42.95833333,200.1904762,74.82,1.335,0.039285714
Thames,THAMES - TEDDINGTON WEIR               ,1988,11.78125,7.968181818,672.15,20.51428571,,10.82941176,2.668181818,0.251363636,0.106952381,29.63921791,41.18181818,194.05,0.5,1.386666667,0.03175
Thames,THAMES - TEDDINGTON WEIR               ,1989,18.1119403,7.73,705.2222222,9.323214286,4.068181818,8.123387097,2.385507246,0.421,0.172444444,30.76907866,58.08571429,192.4285714,33.05,3.329516129,0.049375
Thames,THAMES - TEDDINGTON WEIR               ,1990,11.85294118,7.629411765,689.5,12.64705882,,9.211333333,2.764705882,0.442058824,0.105,33.93066899,60.05882353,168.6875,37.81,2.638823529,0.117307692
Thames,THAMES - TEDDINGTON WEIR               ,1991,12.32,7.854166667,720.5454545,11.55,,10.07777778,2.943478261,0.365625,0.1628,36.19028221,61.45454545,176.7272727,21.6,1.572954545,0.060625
Thames,THAMES - TEDDINGTON WEIR               ,1992,12.17142857,7.822222222,649.2142857,11.6,,9.515806452,1.838235294,0.312083333,0.106285714,35.16285374,51.91666667,184.6923077,24.16071393,1.238055556,0.104583333
Thames,THAMES - TEDDINGTON WEIR               ,1993,13.11034483,7.94137931,652.4166667,13.44615385,,9.714285714,1.835714286,0.399137931,0.0925,31.84880644,47.37931034,209.0769231,46.48461538,0.964137931,0.109230769
Thames,THAMES - TEDDINGTON WEIR               ,1994,12.68125,7.9875,616.1666667,11.15,,10.33333333,2.35,0.2434375,0.132857143,32.40237782,56.64285714,187,40.375,0.983571429,0.115
Thames,THAMES - TEDDINGTON WEIR               ,1995,14.13333333,8.066666667,627.1666667,17.61666667,,10.05833333,1.654545455,0.23625,0.101166667,30.77856845,53.16666667,193.6666667,31.35000056,1.605,0.046666667
Thames,THAMES - TEDDINGTON WEIR               ,1996,12.63913043,8.158333333,642.3333333,15.03333333,,10.16666667,2.958333333,0.308333333,0.128916667,36.01904413,60.16666667,180.5833333,33.74782609,1.689166667,0.082083333
Thames,THAMES - TEDDINGTON WEIR               ,1997,13.91304348,8.091666667,636.1818182,11.52727273,,11.00909091,2.618181818,0.19625,0.105833333,34.76428235,64.18181818,174.75,27.59545455,1.88,0.053181818
Thames,THAMES - TEDDINGTON WEIR               ,1998,11.73076923,8.093846154,607.3076923,20.53076923,,10.84538462,1.561538462,0.173846154,0.073230769,33.99779891,45.23076923,203.3846154,13.53846154,1.033076923,0.025
Thames,THAMES - TEDDINGTON WEIR               ,1999,13,8.125,600.7,16.29,,10.524,1.633333333,0.185818182,0.063272727,30.07804904,48.4,201.9,23.51666667,1.156363636,0.0455
Thames,THAMES - TEDDINGTON WEIR               ,2000,11.9375,8.05,514.4,35.125,,10.47666667,1.475,0.14025,0.057391667,27.81142588,41.31666667,190.25,8.583333333,0.708916667,0.035416667
Thames,THAMES - TEDDINGTON WEIR               ,2001,11.92736842,8.121176471,545.6666667,21.83333333,,10.66421053,2.463636364,0.138045455,0.058686364,28.04090638,39.01666667,182.5833333,26.28095238,0.58075,0.035416667
Thames,THAMES - TEDDINGTON WEIR               ,2002,13.43083333,8.044166667,538.9166667,20.86666667,,10.33909091,2.358333333,0.087166667,0.050083333,28.4498782,41.20833333,182.25,27.49166667,0.53575,0.025
Thames,THAMES - TEDDINGTON WEIR               ,2003,13.2725,8.073333333,595.5833333,14.80833333,12.5,10.71916667,2.758333333,0.114666667,0.082191667,31.28047316,51.8,179.1666667,39.51666667,0.865333333,0.044416667
Thames,THAMES - TEDDINGTON WEIR               ,2004,13.88416667,7.875,589.75,9.041666667,10.83333333,9.85,5.233333333,0.10875,0.050783333,32.76773492,48.00833333,,7.118181818,0.625,0.025
Thames,THAMES - TEDDINGTON WEIR               ,2005,13.09416667,8.083333333,643.8333333,6.725,10,10.23833333,1.905833333,0.127583333,0.0813,32.50940162,65.49166667,,19.95,0.83075,0.027272727
Thames,THAMES - TEDDINGTON WEIR               ,2006,13.75545455,8.056363636,611.5833333,16.375,16.16666667,9.85,1.655,0.094166667,0.045358333,32.76035397,57.9,,10.36666667,0.517666667,0.025
Thames,THAMES - TEDDINGTON WEIR               ,2007,13.0225,8.151666667,570.75,15.84166667,12.75,11.11666667,1.791666667,0.068166667,0.044275,30.39844944,41.18333333,188.0833333,27.65,0.24325,0.025
Thames,THAMES - TEDDINGTON WEIR               ,2008,12.59,8.083333333,546.4166667,27.86666667,22.66666667,10.69916667,2.05,0.101333333,0.030583333,25.20225947,40.925,,25.36666667,0.1975,0.028833333
Thames,THAMES - TEDDINGTON WEIR               ,2009,14.59416667,8.315833333,558.0833333,22.78333333,18,11.06333333,2.858333333,0.119833333,0.039866667,28.36499726,48.46666667,,73.64166667,0.213416667,0.025
Thames,THAMES - TEDDINGTON WEIR               ,2010,11.55166667,8.206666667,582.9,12.565,11.55833333,10.6375,2.208333333,0.159,0.048858333,30.61987799,50.8,,31.43333333,0.199583333,0.028083333
Thames,THAMES - TEDDINGTON WEIR               ,2011,13.445,8.109166667,664.55,7.9075,10.875,10.08083333,1.779166667,0.10375,0.046758333,34.79380616,57.58333333,,24.46166667,0.245083333,0.027083333
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1980,13.34096386,7.760674157,540.6721311,18.42790698,14.71186441,11.06235955,4.675294118,0.153488372,0.069651163,24.30564549,43.5,105.32,47.96184211,0.724551724,
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1981,11.57692308,7.67037037,520.2222222,31.26538462,4.8,10.44666667,3.703703704,0.142962963,0.069259259,25.19364836,40.18518519,102.8518519,32.7,0.669259259,
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1982,12,7.732142857,536.75,17.74642857,,11.02214286,3.424,0.132857143,0.060357143,25.4959159,44.57142857,107.8214286,33.78888889,0.687142857,0.0225
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1983,11.26818182,7.533333333,531.0416667,22.10869565,,10.4425,3.608333333,0.255833333,0.062083333,26.42380697,41.75,111.25,22.16428571,0.699583333,0.0475
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1984,11.42,7.796,538.8888889,13.99130435,15.65,10.95380952,3.364,0.193,0.0652,26.94342596,43.24,107.3157895,,0.852083333,
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1985,11.37241379,7.564516129,574.5454545,15.23,11.39130435,9.873684211,2.622580645,0.267580645,0.066774194,27.5714259,48.64516129,110.0909091,32.63636364,0.995483871,
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1986,11.01388889,7.822222222,487.4,24.93611111,19.464,10.37409091,2.876470588,0.240972222,0.05625,27.69210049,44.97222222,108.96,35.15,0.928055556,
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1987,11.27428571,7.777142857,517.6176471,13.15428571,4.95,10.45,3.064705882,0.215285714,0.056571429,24.93665065,46.57142857,132,16.67,0.801428571,
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1988,14.912,7.908,509.12,13.764,,9.433333333,2.808,0.0828,0.0474,25.40228326,44.12,135,67.125,1.008,
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1989,11.25238095,7.780952381,555,11.8047619,,10.40277778,2.971428571,0.18047619,0.056190476,27.9632626,49.9047619,129.1666667,20.625,1.321904762,
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1990,11.72222222,7.922222222,593.75,10.07435897,,7.085714286,2.286,0.136333333,0.075108696,26.18633287,53.89655172,134.4444444,21.73333333,1.232391304,0.03375
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1991,10.83333333,7.782758621,593.9444444,20.03809524,,,2.557692308,0.19775,0.058342857,26.75898901,54.95555556,116.7083333,28.33333333,0.848,0.0425
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1992,13.11463415,7.830357143,560.0357143,37.70238095,,,2.464864865,0.128333333,0.04894,24.66081394,49.97777778,107.7076923,17,0.8446,0.03875
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1993,11.3953125,7.901333333,536.2666667,22.68333333,,,2.73559322,0.100070423,0.044619718,23.60491608,48.15774648,104.9457627,28.72272727,0.588591549,0.04375
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1994,12.33934426,7.8390625,488.28125,25.61666667,,,2.333333333,0.113333333,0.046746032,22.88893365,42.11111111,107.1833333,11.02439024,0.444603175,0.0375
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1995,12.42459016,8.016666667,504.2,29.925,,,2.950847458,0.090416667,0.053433333,23.54597391,45.88333333,125.2833333,60.50897436,0.681166667,0.03125
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1996,11.33770492,7.944262295,488,18.26166667,,,2.629508197,0.107918033,0.048918033,25.35828794,50.70491803,109.5901639,46.985,0.753934426,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1997,10.31481481,8.135185185,504.5555556,18.01851852,,,2.925925926,0.117148148,0.042622222,26.62063234,60.30740741,106.0740741,67.756875,0.709666667,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1998,11.48461538,7.876923077,459.6153846,24.85833333,,,2.384615385,0.118461538,0.043846154,23.38285488,45.50769231,102.5384615,44.7,0.656153846,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,1999,12.81666667,7.908333333,464.9166667,15.55833333,,,,0.110416667,0.048191667,21.89559312,44.54166667,111.1666667,35.45,0.675666667,0.023333333
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,2000,11.91666667,7.775,393.5,37.51666667,,,,0.127083333,0.045,20.23118852,36.41666667,94.25,12.88285714,0.435833333,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,2001,10.58083333,7.726666667,446.25,25.575,,,2.175,0.135583333,0.051725,22.64106924,38.30833333,119.1666667,36.86666667,0.486,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,2002,14.53045455,7.367727273,412.0769231,30.33333333,,,2.507692308,0.085384615,0.041492308,21.69318471,38.1,118.8307692,39.96555556,0.446461538,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,2003,13.06416667,8.09,476.0833333,16.30833333,12.41666667,10.25,3.033333333,0.084666667,0.04305,22.18345023,45.04166667,123.5833333,116.8875,0.50875,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,2004,13.50857143,7.666428571,432.9090909,16.15,14.91666667,9.183571429,2.236363636,0.11125,0.041033333,20.54118849,41.50909091,59,,0.468,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,2005,11.74636364,7.699090909,488.8333333,14.86666667,13.41666667,10.11,1.9175,0.105916667,0.036191667,22.39011688,50.49166667,,26.31,0.601333333,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,2006,12.06916667,7.684166667,472.75,31.475,25.58333333,9.655833333,2.194166667,0.150166667,0.035041667,24.07666434,49.90833333,,25.87375,0.458166667,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,2007,12.31384615,7.77,474.8333333,20.08333333,12.33333333,10.52833333,2.275,0.074083333,0.029266667,19.90273617,42.1,118,49.01125,0.411666667,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,2008,10.9175,7.6475,461.0833333,18.69166667,17.16666667,11.16166667,1.766666667,0.077333333,0.029533333,19.7145219,41.325,,19.01666667,0.369083333,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,2009,12.8125,7.875,496.25,10.45416667,11.66666667,10.35416667,1.908333333,0.070666667,0.029791667,19.17571243,43.375,,32.33333333,0.4455,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,2010,10.83,7.988333333,503.55,13.67083333,12.56666667,12.26333333,2.116666667,0.083666667,0.030291667,20.86595036,43.375,,40.13333333,0.315416667,0.025
Southern,MEDWAY - UPSTREAM OF ALLINGTON SLUICES ,2011,12.42461538,7.906153846,526.1461538,13.58692308,15.49230769,10.21615385,1.623076923,0.074538462,0.032361538,20.24538266,45.7,,20.28461538,0.547230769,0.042307692
South West,EXE - THORVERTON ROAD BRIDGE        ,1980,10.88,7.26,153.04,8.24,8.375,11.188,1.496,0.0476,0.015,9.636570496,16.48,37.8,4.832,0.09864,
South West,EXE - THORVERTON ROAD BRIDGE        ,1981,11.10454545,7.372727273,163.6363636,10.77272727,12.76923077,11.24090909,1.340909091,0.044772727,0.021363636,9.352720183,15.72727273,40.47272727,4.363636364,0.094454545,
South West,EXE - THORVERTON ROAD BRIDGE        ,1982,12.14444444,6.683333333,166.8333333,11.22222222,9.65625,10.77222222,1.561111111,0.087222222,0.026111111,10.89920529,16.96111111,40.88888889,4.277777778,0.116111111,
South West,EXE - THORVERTON ROAD BRIDGE        ,1983,11.80526316,7.547368421,175.7894737,10.78947368,8.105263158,10.74736842,1.942105263,0.077105263,0.025789474,10.95488616,17.17368421,41.84210526,5.052631579,0.131052632,
South West,EXE - THORVERTON ROAD BRIDGE        ,1984,11.16428571,7.771428571,190.9285714,6.214285714,4.392857143,11.57142857,1.707692308,0.056071429,0.028571429,12.2102029,20.19285714,43.42857143,2.366666667,0.125,
South West,EXE - THORVERTON ROAD BRIDGE        ,1985,9.842857143,7.65,173.4285714,6.285714286,4.692307692,11.65714286,1.735714286,0.065,0.026357143,11.6408152,16.92857143,43.14285714,3.76,0.091428571,
South West,EXE - THORVERTON ROAD BRIDGE        ,1986,11.15333333,7.64,177.3333333,10.46666667,8.266666667,11.49333333,1.8,0.071333333,0.025533333,12.22285596,15.05333333,42.97333333,4.173333333,0.109666667,
South West,EXE - THORVERTON ROAD BRIDGE        ,1987,8.90625,7.7375,168.6875,10.875,7.875,11.68125,1.7625,0.0815625,0.026875,11.40357033,16.4125,39.5,8.866666667,0.0925,
South West,EXE - THORVERTON ROAD BRIDGE        ,1988,8.307692308,7.523076923,156.3846154,28.61538462,23.23076923,11.43076923,1.753846154,0.059230769,0.022,10.79890005,15.69230769,36.69230769,5.461538462,0.100769231,
South West,EXE - THORVERTON ROAD BRIDGE        ,1989,10.75925926,7.548148148,194.3703704,14.22222222,10.14814815,10.42962963,1.948148148,0.06962963,0.023925926,11.16984019,19.64814815,43.07407407,6.637037037,0.145555556,
South West,EXE - THORVERTON ROAD BRIDGE        ,1990,10.98846154,7.434615385,179.3461538,9.769230769,7.365384615,10.28076923,1.676923077,0.051346154,0.022153846,12.52093285,20.9,34.92307692,5.2875,0.098461538,
South West,EXE - THORVERTON ROAD BRIDGE        ,1991,10.05,7.531034483,171.4137931,10.21034483,5.285714286,10.82142857,1.875862069,0.05062069,0.026189655,12.18315153,19.57586207,35.86206897,4.517241379,0.097931034,
South West,EXE - THORVERTON ROAD BRIDGE        ,1992,9.885185185,7.7,163.1923077,24.18518519,,11.46814815,1.666666667,0.059851852,0.028037037,11.24036928,17.16666667,37.61538462,7.838461538,0.079259259,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,1993,10.88846154,7.8,168.4230769,13.22692308,,11.00615385,1.738461538,0.053846154,0.0255,10.56554843,16.84615385,45.07692308,3.973076923,0.089423077,
South West,EXE - THORVERTON ROAD BRIDGE        ,1994,11.32,7.776,157,6.332,,10.9416,1.416,0.0316,0.0172,10.30262757,15.4,40.32,2.54,0.08876,
South West,EXE - THORVERTON ROAD BRIDGE        ,1995,11.96923077,7.807692308,164.5384615,16.76153846,,10.8376,1.7,0.044807692,0.022833333,10.803868,15.42307692,38.46153846,,0.114583333,0.033333333
South West,EXE - THORVERTON ROAD BRIDGE        ,1996,10.088,7.788,182.6,5.756,,11.4212,1.728,0.0404,0.02224,15.46988422,16.92,40.04,2.583333333,0.1292,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,1997,9.692307692,7.742307692,163.8461538,21.13076923,,11.32384615,1.715384615,0.055230769,0.022253846,13.35067673,15.5,37.76923077,5.708333333,0.095692308,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,1998,9.608333333,7.6875,143.1666667,8.225,,11.23083333,1.358333333,0.038833333,0.01575,11.26001082,14.78333333,32,2.4,0.049,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,1999,10.7,7.791666667,161,4.25,,10.19416667,1.525,0.037683333,0.018291667,10.86845133,15.06666667,39.5,2.816666667,0.0715,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,2000,10.60833333,7.795833333,142.8333333,9.630769231,,11.0225,1.408333333,0.041083333,0.01735,9.895843198,13.35,36.5,2.825,0.055,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,2001,11.62636364,7.619090909,168.4545455,4.545454545,13.63636364,10.46727273,1.436363636,0.052727273,0.029781818,10.0327263,15.11818182,45.54545455,4.345454545,0.122363636,0.034090909
South West,EXE - THORVERTON ROAD BRIDGE        ,2002,11.14333333,7.795555556,152.5555556,19.41111111,21.66666667,10.74666667,1.777777778,0.045555556,0.025477778,11.20920526,14.54444444,40.95555556,6.4,0.084111111,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,2003,9.466666667,7.708333333,164.75,4.741666667,11,10.9925,2.075,0.063166667,0.025791667,11.50690365,16.55,48.41666667,7.95,0.090416667,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,2004,12.23333333,7.708333333,153.3333333,7.341666667,11.66666667,10.7125,1.45,0.038083333,0.022166667,10.95333227,15.75833333,42.09090909,5.75,0.084166667,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,2005,10.97076923,7.509230769,154.6428571,8.869230769,11.46153846,10.64,1.401538462,0.048857143,0.023792857,11.04612138,15.75,40.81818182,5.076923077,0.074,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,2006,11.5,7.5,152.8333333,67.49166667,61.16666667,10.52916667,1.700833333,0.038833333,0.013,11.10464178,15.60833333,,11.86666667,0.08025,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,2007,9.892857143,7.703571429,159.6153846,22.26153846,18.58333333,11.18142857,1.307692308,0.046928571,0.013046154,10.73417479,16.06153846,37.08333333,4.034166667,0.062230769,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,2008,11.03333333,7.639166667,154.25,8.533333333,11.08333333,10.34333333,1.341666667,0.027916667,0.014525,10.23737996,14,,5.5,0.045416667,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,2009,11.48833333,7.538333333,170.0833333,8.733333333,10.91666667,10.76083333,1.7,0.023166667,0.012883333,9.480832416,15.11666667,,4.4,0.049916667,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,2010,10.25833333,7.6925,158.6666667,13.34,14.75833333,11.07583333,1.433333333,0.033666667,0.016575,9.041665792,14.31666667,,6.801666667,0.040083333,0.025
South West,EXE - THORVERTON ROAD BRIDGE        ,2011,11.2,7.95,148.1666667,10.33,12.99166667,11.40083333,1.758333333,0.032416667,0.0159,7.830820671,13.76666667,,4.2825,0.0345,0.04375
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1980,10.89130435,7.224,169.68,18.4,20.17647059,11.09583333,2.0375,0.0642,0.021,11.01828465,23,34.8,7.632,0.06576,
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1981,12.1,7.181818182,170.8636364,28.68181818,37.23076923,10.83181818,2.009090909,0.067045455,0.025227273,10.43934964,20.36363636,35.54545455,7.915,0.078181818,
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1982,10.63333333,6.92,168.6666667,21.25714286,16.42857143,10.69333333,2.093333333,0.095333333,0.027333333,11.4227608,19.7,35.2,6.366666667,0.078,
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1983,11.41428571,7.404761905,178.5714286,10.74761905,7.457142857,10.33809524,2.55,0.056666667,0.016666667,12.7795906,21.04761905,39.52380952,12.01052632,0.098571429,
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1984,12.02173913,7.429166667,204.4166667,24.29166708,18.93750042,10.00833333,2.608333333,0.079583333,0.02375,13.06428445,26.16666667,39.25,29.55555556,0.082916667,
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1985,10.87083333,7.229166667,186.2916667,21.4125,16.16666667,10.4625,2.641666667,0.110208333,0.034583333,13.35952252,24.16666667,33.54166667,,0.075833333,
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1986,10.16,7.368,184.28,20.616,15.368,10.696,2.292,0.0948,0.0326,12.61257021,22.56,36.56,,0.0712,
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1987,10.58928571,7.4,187.0357143,14.94285714,11.13571429,10.43214286,2.328571429,0.098392857,0.032857143,12.0836723,23.21428571,37.96428571,,0.083928571,
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1988,10.46153846,7.437037037,181.1111111,23.17037037,14.77777778,10.64444444,2.181481481,0.063888889,0.026851852,12.26878188,22.17407407,37.55555556,,0.081481481,
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1989,11.20952381,7.381818182,194.1363636,21.05454545,16.96818182,10.68636364,2.276190476,0.073863636,0.030227273,11.60486901,23.71818182,40.45454545,,0.093636364,0.031875
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1990,12.104,7.330769231,201.7692308,47.56923077,39.81538462,10.00384615,2.111538462,0.075961538,0.030576923,11.65054832,27.36153846,37.15384615,,0.107307692,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1991,10.67307692,7.504,197.72,14.692,11.81,10.856,1.592,0.05748,0.02168,12.62696306,25.592,32.92,,0.06664,0.025
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1992,11.08076923,7.703846154,189.7692308,16.30769231,,10.76269231,1.523076923,0.044615385,0.024423077,12.1036252,24.69230769,37.11538462,6.980769231,0.057115385,
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1993,10.548,7.644,173.8,32.072,,10.7392,1.952,0.076,0.02952,12.30434167,22.28,36.72,6.942307692,0.056,
South West,TAMAR - GUNNISLAKE NEWBRIDGE          ,1994,11.30769231,7.738461538,171.0769231,27.22692308,,10.62115385,1.530769231,0.043461538,0.019115385,10.34752647,21.51538462,37.03846154,8.711538462,0.051538462,
